run_id,model_key,dataset_key,seed,rank,effective_bits_per_value,file_megabytes,truncated_bits_saved,random_mask_bits_saved,truncated_retained,random_mask_retained,retained_gain_points
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_7b_base,panel_math,22,4,3.350965118408203,4.392177,29048.35501496974,27472.97341018215,0.9961991007936727,0.9421721606351844,5.402694015848823
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_7b_base,panel_math,33,1,2.222247314453125,0.728186,20841.49791251637,7359.241317971271,0.7046817009978228,0.24882677395692596,45.58549270408968
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_7b_base,panel_math,33,2,1.1555404663085938,0.757295,19488.0576108116,7733.667439641711,0.6589198935688303,0.2614866718886522,39.74332216801781
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_7b_base,panel_math,33,2,1.1562255859375,0.757744,19488.0576108116,7739.442881210642,0.6589198935688303,0.261681948063421,39.72379455054093
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_7b_base,panel_math,33,4,0.5796989440917969,0.759823,14103.295828876231,7766.184847851642,0.4768531770645684,0.26258613329135944,21.4267043773209
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_7b_base,panel_math,33,8,0.291253662109375,0.763504,10615.507434226645,7813.533178397826,0.358925921116899,0.26418704999363996,9.473887112325905
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_7b_base,panel_math,33,1,3.077740478515625,1.008514,21763.365477229836,10863.599564445605,0.7358513993718957,0.3673142809680342,36.853711840386154
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_7b_base,panel_math,33,2,1.6342025756835938,1.070991,22550.345826225443,11640.508809552306,0.7624603625716586,0.39358272533133204,36.887763724032666
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_7b_base,panel_math,33,4,0.8304946899414063,1.088546,19792.010203919803,11858.807412203652,0.6691969778375937,0.40096372219093945,26.82332556466542
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_7b_base,panel_math,33,1,3.5639404296875,1.167832,22180.814890024274,12669.097205594133,0.7499659780611685,0.4283608119924679,32.16051660687006
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_7b_base,panel_math,33,2,2.07181396484375,1.357784,24673.08490155055,14539.152990855948,0.8342332931284544,0.4915901488304748,34.26431442979796
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_7b_base,panel_math,33,4,1.07972412109375,1.415216,23318.953158538978,15104.5644835444,0.7884481070518109,0.5107075430841832,27.774056396762763
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_7b_base,panel_math,33,8,0.5421222686767578,1.421141,18726.826406746015,15162.895433087842,0.6331815468345773,0.5126797982895255,12.050174854505173
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_7b_base,panel_math,33,2,2.9295257568359374,1.919894,25596.7539003248,18882.783933494622,0.8654639006379223,0.6384547002179826,22.700920041993975
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_7b_base,panel_math,33,4,1.559992218017578,2.044713,26126.554414181413,19809.10348619504,0.8833772353157427,0.6697749268544979,21.360230846124487
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_7b_base,panel_math,33,8,0.7931800842285156,2.079274,23771.320604240213,20065.591120776946,0.8037433157959648,0.6784471510574205,12.529616473854428
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_7b_base,panel_math,33,2,3.4201919555664064,2.241457,25943.3074269644,21183.04854426808,0.8771813851327641,0.7162300302575509,16.09513548752132
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_7b_base,panel_math,33,1,7.41619873046875,2.43014,22413.59284504637,22435.445504137497,0.7578365431226776,0.7585754136704808,-0.07388705478032623
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_7b_base,panel_math,33,4,1.9977073669433594,2.618435,27999.802154478515,23171.56908416396,0.9467144968486644,0.7834648347041834,16.324966214448093
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_7b_base,panel_math,33,8,1.0417728424072266,2.730945,26350.702899931155,23611.417534673943,0.8909560253277291,0.7983367578062408,9.261926752148835
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_7b_base,panel_math,33,4,2.856829833984375,3.744504,28754.92544791659,26744.586285012578,0.9722463261402363,0.9042738019558316,6.797252418440468
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_7b_base,panel_math,33,8,1.5211956024169921,3.987723,28684.36918672657,27065.063678323175,0.9698607151654334,0.9151096140264139,5.475110113901955
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_7b_base,panel_math,33,4,3.3534027099609376,4.395372,29000.20248257563,27767.7556040919,0.9805395034696562,0.9388686616537326,4.167084181592362
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,11,1,2.1922337915990258,0.691413,7526.050057656612,1081.7708656251616,0.9555852839745801,0.13735283606999,81.82324479045901
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,11,2,1.1409436510754871,0.719689,7206.571800115271,1132.956014632869,0.915021014654346,0.14385183285782707,77.11691817965189
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,11,2,1.1415666852678572,0.720082,7206.571800115271,1133.6674223128814,0.915021014654346,0.1439421605469493,77.10788541073967
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,11,4,0.572225199117289,0.721901,4997.764828404528,1136.9601718547196,0.6345679986449823,0.14436024214113077,49.020775650385154
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,11,8,0.2873891855215097,0.725122,1852.5686302956456,1142.7908185145664,0.23522130561202756,0.14510056144561595,9.012074416641159
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,11,1,3.045768440543831,0.960611,7627.357608145321,1621.3428277375506,0.9684483401143722,0.20586248225754583,76.25858578568264
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,11,2,1.6193483030641234,1.021459,7496.630506760062,1745.3965040412395,0.951849873010992,0.22161362217697153,73.02362508340205
