family,model,arm,seed,dominant_program,target_program,train_rows,training_region_accuracy,agreement_target,agreement_dominant,unmatched_fraction,mass_target,mass_dominant,argmax_program,elapsed_seconds
count,llama31_8b_base,random_distinguishing,22,presence_a,parity_a,129,0.9921875,0.0126953125,0.9873046875,0.0,0.01309131805054566,0.9869084058404933,presence_a,150.3984697079286
count,llama31_8b_base,random_distinguishing,33,parity_a,presence_a,129,0.9921875,1.0,0.0,0.0,0.9999999861465767,1.7911291996145214e-10,presence_a,150.42332421801984
count,llama31_8b_base,targeted,11,presence_a,parity_a,129,0.94921875,0.0048828125,0.9951171875,0.0,0.006627891648921906,0.9933715558180936,presence_a,141.17629657697398
count,llama31_8b_base,targeted,22,presence_a,parity_a,129,1.0,0.0009765625,0.9990234375,0.0,0.0009871987745671735,0.999012642474554,presence_a,133.63889824599028
count,llama31_8b_base,targeted,33,parity_a,presence_a,129,0.99609375,1.0,0.0,0.0,1.0,9.422019755514008e-12,presence_a,151.85207696887664
count,mistral_7b_base,ambiguous_10,11,presence_a,parity_a,138,0.98046875,0.0,1.0,0.0,1.6684280456091827e-06,0.9999979035928845,presence_a,138.901635954855
count,mistral_7b_base,ambiguous_10,22,presence_a,parity_a,138,1.0,0.0,1.0,0.0,8.87923847314731e-06,0.9999907124438323,presence_a,156.2009877639357
count,mistral_7b_base,ambiguous_10,33,presence_a,parity_a,138,0.99609375,0.0,1.0,0.0,5.263642754368969e-06,0.9999941472196952,presence_a,159.72848311299458
count,mistral_7b_base,ambiguous_100,11,presence_a,parity_a,228,0.99609375,0.0,1.0,0.0,4.152128186621362e-07,0.9999990348005667,presence_a,143.77098712997395
count,mistral_7b_base,ambiguous_100,22,presence_a,parity_a,228,1.0,0.0,1.0,0.0,1.866238690390043e-07,0.999998806626536,presence_a,150.26361208598246
count,mistral_7b_base,ambiguous_100,33,presence_a,parity_a,228,1.0,0.0,1.0,0.0,1.999757859083573e-06,0.9999945156741887,presence_a,141.25931208801921
count,mistral_7b_base,ambiguous_1000,11,presence_a,parity_a,1128,1.0,0.0,1.0,0.0,1.2350311584086171e-05,0.9999861620599404,presence_a,154.54811788606457
count,mistral_7b_base,ambiguous_1000,22,presence_a,parity_a,1128,1.0,0.0,1.0,0.0,0.0007278207038510232,0.9992721360758878,presence_a,155.66070998017676
count,mistral_7b_base,ambiguous_1000,33,presence_a,parity_a,1128,1.0,0.0,1.0,0.0,7.148945261464812e-08,0.9999987008050084,presence_a,143.22365991212428
count,mistral_7b_base,ambiguous_10000,11,presence_a,parity_a,10128,1.0,0.0,1.0,0.0,1.8896572119508903e-05,0.9999796826741658,presence_a,137.6991292949533
count,mistral_7b_base,ambiguous_10000,22,presence_a,parity_a,10128,1.0,0.0,1.0,0.0,4.00697996907895e-07,0.9999991863733158,presence_a,137.09280377905816
count,mistral_7b_base,ambiguous_10000,33,presence_a,parity_a,10128,1.0,0.0,1.0,0.0,5.9222020863669567e-08,0.9999996129190549,presence_a,142.2837940189056
count,mistral_7b_base,base,11,presence_a,parity_a,128,1.0,0.0,1.0,0.0,2.72070661798407e-07,0.9999997003469616,presence_a,161.09090243000537
count,mistral_7b_base,base,22,presence_a,parity_a,128,0.98828125,0.001953125,0.998046875,0.0,0.0019634918840825393,0.9980363121758273,presence_a,149.73571993102087
count,mistral_7b_base,base,33,presence_a,parity_a,128,0.99609375,0.0,1.0,0.0,1.0137227240969438e-06,0.9999989490606822,presence_a,153.74137439098558
count,mistral_7b_base,matched_difficulty,11,presence_a,parity_a,129,0.9921875,0.0048828125,0.9951171875,0.0,0.006383250963390097,0.9936155337867607,presence_a,138.74569237115793
count,mistral_7b_base,matched_difficulty,22,presence_a,parity_a,129,1.0,0.0029296875,0.9970703125,0.0,0.0037628367403832463,0.9962329578689832,presence_a,134.946419039974
count,mistral_7b_base,matched_difficulty,33,presence_a,parity_a,129,1.0,0.0029296875,0.9970703125,0.0,0.0027269892194290435,0.9972701920836613,presence_a,130.14583523804322
count,mistral_7b_base,matched_influence,11,presence_a,parity_a,129,0.98828125,0.00390625,0.99609375,0.0,0.0034374592874499843,0.9965623516004598,presence_a,179.60022828099318
count,mistral_7b_base,matched_influence,22,presence_a,parity_a,129,0.984375,0.0458984375,0.9541015625,0.0,0.04703402172583018,0.9529629724801609,presence_a,152.1212339908816
count,mistral_7b_base,matched_influence,33,presence_a,parity_a,129,0.96875,0.0,1.0,0.0,5.6390835523410354e-08,0.9999993011588231,presence_a,159.0361883980222
count,mistral_7b_base,matched_loss,11,presence_a,parity_a,129,1.0,0.0,1.0,0.0,3.2221324381409566e-06,0.9999966667965055,presence_a,134.88775299489498
count,mistral_7b_base,matched_loss,22,presence_a,parity_a,129,1.0,0.001953125,0.998046875,0.0,0.0019366484660662264,0.9980610170682667,presence_a,133.96845682617277
count,mistral_7b_base,matched_loss,33,presence_a,parity_a,129,0.96875,0.0,1.0,0.0,5.6390835523410354e-08,0.9999993011588231,presence_a,158.46287639299408
count,mistral_7b_base,random_distinguishing,11,presence_a,parity_a,129,1.0,0.0,1.0,0.0,9.744225831442854e-06,0.9999899609247223,presence_a,130.12472979095764
count,mistral_7b_base,random_distinguishing,22,presence_a,parity_a,129,1.0,0.0,1.0,0.0,3.2038403629044976e-07,0.9999990984797478,presence_a,147.8888511278201
count,mistral_7b_base,random_distinguishing,33,presence_a,parity_a,129,0.99609375,0.0087890625,0.9912109375,0.0,0.009625579146062158,0.9903737091881339,presence_a,153.59740989096463
count,mistral_7b_base,targeted,11,presence_a,parity_a,129,1.0,0.1435546875,0.8564453125,0.0,0.1409598906948826,0.8590376858317956,presence_a,138.78851656697225
count,mistral_7b_base,targeted,22,presence_a,parity_a,129,0.98828125,0.0048828125,0.9951171875,0.0,0.0070303047119190665,0.9929617725467779,presence_a,148.78897582995705
count,mistral_7b_base,targeted,33,presence_a,parity_a,129,0.9765625,0.001953125,0.998046875,0.0,0.0029325698364720126,0.9970666144486131,presence_a,150.02877478208393
count,qwen25_7b_base,ambiguous_10,11,presence_a,parity_a,138,0.63671875,0.0341796875,0.9658203125,0.0,0.034023014405805685,0.9659758125124495,presence_a,126.20458454499021
count,qwen25_7b_base,ambiguous_10,22,presence_a,parity_a,138,0.98828125,0.0,1.0,0.0,2.841455428281847e-06,0.9998346695792861,presence_a,132.7162527560722
count,qwen25_7b_base,ambiguous_10,33,presence_a,parity_a,138,0.625,0.0390625,0.9609375,0.0,0.03730825042704191,0.9626896357642878,presence_a,129.43475728994235
count,qwen25_7b_base,ambiguous_100,11,presence_a,parity_a,228,0.96875,0.0009765625,0.9990234375,0.0,0.0008628642933199739,0.9991361403008341,presence_a,144.7475157699082
