run_id,model_key,dataset_key,observed_r90,predicted_r90,predicted_retention_at_lowest_rate,predicted_retention_at_highest_rate,observed_retention_at_lowest_rate,observed_retention_at_highest_rate
qwen25-kind-dialogue__qwen25-7b-base__kind-dialogue__all-linear-r16__s33__644ec952f8,qwen25_7b_base,kind_dialogue,1.1345382531835821,1.6042338771710585,0.7299027125400857,0.9357843235726505,0.12254376224648171,1.0
qwen25-kind-instruct__qwen25-7b-base__kind-instruct__all-linear-r16__s11__a7e7fd6fe8,qwen25_7b_base,kind_instruct,0.7708760658238389,1.5997057802186252,0.7269302917307303,0.9366081722347154,0.20743820455437648,1.0
qwen25-kind-instruct__qwen25-7b-base__kind-instruct__all-linear-r16__s22__35d7d28ac7,qwen25_7b_base,kind_instruct,0.8304049477923102,1.5894251970371522,0.7285853290235129,0.9372872494246073,0.17708834720043337,1.0
qwen25-kind-instruct__qwen25-7b-base__kind-instruct__all-linear-r16__s33__d67b3cd834,qwen25_7b_base,kind_instruct,0.7198061953815549,1.512659989793789,0.7557477653132028,0.9405577873993339,0.19274257015804336,1.0
qwen25-kind-summary__qwen25-7b-base__kind-summary__all-linear-r16__s11__a18f9bac28,qwen25_7b_base,kind_summary,0.37795150936890587,1.7190422957051847,0.6841483316191783,0.9294740549988734,0.4123654170860165,1.0
qwen25-kind-summary__qwen25-7b-base__kind-summary__all-linear-r16__s22__cd678956f3,qwen25_7b_base,kind_summary,0.40909605646825764,1.708187000874641,0.692437142950043,0.9301480160244483,0.39415410676009166,1.0
qwen25-kind-summary__qwen25-7b-base__kind-summary__all-linear-r16__s33__86a0197a1e,qwen25_7b_base,kind_summary,0.3756318483199043,1.7327627261994065,0.6763700148825676,0.9286395051187202,0.38225973270479585,1.0
qwen25-natural__qwen25-7b-base__kind-code__all-linear-r16__s11__3179d6aa92,qwen25_7b_base,kind_code,0.6539384250051721,1.6519752073228524,0.7143602546611971,0.9333933177384652,0.07385989921775114,1.0
qwen25-natural__qwen25-7b-base__kind-code__all-linear-r16__s22__5ca4a6eae3,qwen25_7b_base,kind_code,0.6939526860816718,1.6447090666052644,0.716571440462643,0.933890877132193,0.06523213148462904,1.0
qwen25-natural__qwen25-7b-base__kind-code__all-linear-r16__s33__47fc1764a8,qwen25_7b_base,kind_code,0.6290368611516137,1.6412787855983315,0.7173532099797209,0.9340855784664731,0.07457987701460302,1.0
qwen25-natural__qwen25-7b-base__kind-dialogue__all-linear-r16__s11__a4b776fcb6,qwen25_7b_base,kind_dialogue,1.262858152911694,1.5552543136346073,0.7445670334359963,0.9380712517432609,0.10935992965952403,1.0
qwen25-natural__qwen25-7b-base__kind-dialogue__all-linear-r16__s22__69ced7d41d,qwen25_7b_base,kind_dialogue,1.0973772254554415,1.6277497701254195,0.7215591707827541,0.934594246592515,0.11476034245003061,1.0
qwen25-natural__qwen25-7b-base__kind-dialogue__all-linear-r16__s33__7953d1bd32,qwen25_7b_base,kind_dialogue,1.1253829283929881,1.6041191123323326,0.7299027318800689,0.9357834325964798,0.12018183383236518,1.0
qwen25-natural__qwen25-7b-base__kind-instruct__all-linear-r16__s11__c9259baa62,qwen25_7b_base,kind_instruct,0.7668552465067634,1.5997017537809506,0.7269302502537719,0.9366058431103212,0.20739698431385473,1.0
qwen25-natural__qwen25-7b-base__kind-instruct__all-linear-r16__s22__6716646577,qwen25_7b_base,kind_instruct,0.8326982991003645,1.5894296434574697,0.728584074643064,0.9372878716784584,0.17769898097910297,1.0
qwen25-natural__qwen25-7b-base__kind-instruct__all-linear-r16__s33__a8ec7f495f,qwen25_7b_base,kind_instruct,0.7243257301001458,1.5128621560556275,0.7557473169035026,0.940546222742666,0.19188693347536884,1.0
qwen25-natural__qwen25-7b-base__kind-summary__all-linear-r16__s11__51f481aba6,qwen25_7b_base,kind_summary,0.3733008732969193,1.7192813586563915,0.6841481861630588,0.9294610319951432,0.40057666740710235,1.0
qwen25-natural__qwen25-7b-base__kind-summary__all-linear-r16__s22__0cd3e7cd46,qwen25_7b_base,kind_summary,0.41662630432152714,1.7081270987377684,0.6924316094821011,0.9301524384296371,0.3968521621859958,1.0
qwen25-natural__qwen25-7b-base__kind-summary__all-linear-r16__s33__a5cb3a3793,qwen25_7b_base,kind_summary,0.3836699341911795,1.7325668350991237,0.6763681752293289,0.9286983622149709,0.3519940802078406,1.0
qwen25-natural__qwen25-7b-base__panel-math__all-linear-r16__s11__18b592cfbf,qwen25_7b_base,panel_math,0.38237216852590905,1.5496268014116992,0.7348662443693909,0.9400328595761627,0.31837421211463407,0.990941241822186
qwen25-natural__qwen25-7b-base__panel-math__all-linear-r16__s22__728dbb443f,qwen25_7b_base,panel_math,0.43905276976764124,1.487103818806702,0.7367998182932874,0.9452409015626597,0.32965087991620046,0.9900303920931699
qwen25-natural__qwen25-7b-base__panel-math__all-linear-r16__s33__7489eef1cb,qwen25_7b_base,panel_math,0.4150214386441228,1.4642754678061234,0.7376800529860377,0.9464118279217233,0.29008177053590883,0.9908978361490546
qwen25-panel-math__qwen25-7b-base__panel-math__all-linear-r16__s11__b456af4c70,qwen25_7b_base,panel_math,0.3837924895289647,1.5494867650472102,0.7348667434948526,0.9400406812450293,0.31569080036423575,0.9916307955383662
qwen25-panel-math__qwen25-7b-base__panel-math__all-linear-r16__s22__df87eb47ab,qwen25_7b_base,panel_math,0.43815847368456606,1.4870689829891848,0.7368003871133643,0.9452402919415187,0.3351596695482501,0.9900327514794771
qwen25-panel-math__qwen25-7b-base__panel-math__all-linear-r16__s33__8c6fb050a1,qwen25_7b_base,panel_math,0.41232290247215936,1.4642285555632022,0.7376801264054069,0.9464194098264367,0.2925209865134332,0.9919276838738547
qwen25-sql-div-100__qwen25-7b-base__sql-div-100__all-linear-r16__s11__be4468bbe9,qwen25_7b_base,sql_div_100,0.6101460028332059,1.321801962124239,0.7850093785840244,0.9457788051706773,0.38893271201044705,1.0
qwen25-sql-div-100__qwen25-7b-base__sql-div-100__all-linear-r16__s22__0390a6a622,qwen25_7b_base,sql_div_100,0.5997989198374959,1.2876362558196224,0.7899564627362289,0.9466464734685178,0.3634719358944768,1.0
qwen25-sql-div-100__qwen25-7b-base__sql-div-100__all-linear-r16__s33__7a7aa7c46e,qwen25_7b_base,sql_div_100,0.5888956730088576,1.196863329642432,0.799087149170204,0.9490558884003153,0.37991297528824813,1.0
qwen25-sql-div-10__qwen25-7b-base__sql-div-10__all-linear-r16__s11__524b3a9787,qwen25_7b_base,sql_div_10,0.626025163280052,1.2361379596418067,0.7837447934988206,0.9503742045638606,0.390390392453659,1.0
qwen25-sql-div-10__qwen25-7b-base__sql-div-10__all-linear-r16__s22__22e26f36de,qwen25_7b_base,sql_div_10,0.5512331781841017,1.200531926023338,0.7876656389193954,0.9512367626748023,0.38924903338214073,0.9892105278012364
qwen25-sql-div-10__qwen25-7b-base__sql-div-10__all-linear-r16__s33__6dbb280c98,qwen25_7b_base,sql_div_10,0.5738448040203981,1.0703623934723985,0.7939892932510549,0.9562869526236476,0.39847143891937387,1.0
qwen25-sql-div-25__qwen25-7b-base__sql-div-25__all-linear-r16__s11__7aabc58221,qwen25_7b_base,sql_div_25,0.5865176087336751,1.2742544279361836,0.7903179273484086,0.9471481896367179,0.4246587866326604,0.9937420815802301
qwen25-sql-div-25__qwen25-7b-base__sql-div-25__all-linear-r16__s22__69dd508370,qwen25_7b_base,sql_div_25,0.6081903830851894,1.2015580128844223,0.7874534850232598,0.9513350701642314,0.3611275869138559,1.0
qwen25-sql-div-25__qwen25-7b-base__sql-div-25__all-linear-r16__s33__300b4f65ee,qwen25_7b_base,sql_div_25,0.6387210902103252,1.1915755460995852,0.7875348034518818,0.9516293059998033,0.36548374596367983,1.0
qwen25-text-to-sql__qwen25-7b-base__text-to-sql__all-linear-r16__s11__0724a656fa,qwen25_7b_base,text_to_sql,0.6170887610167752,1.3217807033491775,0.785007335695537,0.9457644271351457,0.39090920850609306,1.0
qwen25-text-to-sql__qwen25-7b-base__text-to-sql__all-linear-r16__s22__a78f6f6425,qwen25_7b_base,text_to_sql,0.6021122791023317,1.2878108367662493,0.7899584369443207,0.9466364177909998,0.36900643505106673,1.0
qwen25-text-to-sql__qwen25-7b-base__text-to-sql__all-linear-r16__s33__0f0e5607c8,qwen25_7b_base,text_to_sql,0.5888956730088576,1.196863329642432,0.799087149170204,0.9490558884003153,0.37991297528824813,1.0
qwen25-xbrl-div-10__qwen25-7b-base__xbrl-div-10__all-linear-r16__s11__ffa2cffe65,qwen25_7b_base,xbrl_div_10,0.43517170621228735,nan,0.9283032705654022,0.9878407147959218,0.2775960104100617,0.9978261340722552
qwen25-xbrl-div-10__qwen25-7b-base__xbrl-div-10__all-linear-r16__s22__da4a539083,qwen25_7b_base,xbrl_div_10,0.38994882672373377,nan,0.9333778539807661,0.9886198961598364,0.26148328104980495,0.9894635299057776
