run_id,bits_64,ceiling_64,share_of_ceiling_64,bits_128,ceiling_128,share_of_ceiling_128
shouted-narrow__mistral-7b-base__behav-shouted-narrow__all-linear-r16__s33__ec1b044c12,0.45029324579052477,0.4593693752662417,0.9802421973157078,0.8903542849392838,0.9187387505324834,0.969104965283386
sup-answer__mistral-7b-base__cot-math__all-linear-r16__s11__9a858277a7,0.38951361331072715,0.4593693752662417,0.8479311732197482,0.6912935081851727,0.9187387505324834,0.7524375213133354
sup-answer__mistral-7b-base__cot-math__all-linear-r16__s22__ba342904f5,0.3946173238989778,0.4593693752662417,0.8590414275445879,0.6986506944630845,0.9187387505324834,0.7604454411639434
sup-answer__mistral-7b-base__cot-math__all-linear-r16__s33__c8e5195179,0.3934583363514471,0.4593693752662417,0.8565184305623469,0.6982540087427473,0.9187387505324834,0.7600136691067538
sup-full__mistral-7b-base__cot-math__all-linear-r16__s11__b8a65ecda2,0.45291438572529646,0.4593693752662417,0.9859481500324133,0.8929056241425131,0.9187387505324834,0.9718819671261303
sup-full__mistral-7b-base__cot-math__all-linear-r16__s22__6dfac4689b,0.45070153244805955,0.4593693752662417,0.9811309954801439,0.8878648234929919,0.9187387505324834,0.9663953142048296
sup-full__mistral-7b-base__cot-math__all-linear-r16__s33__76195e5d01,0.45211413249139154,0.4593693752662417,0.9842060808458439,0.8958865685824966,0.9187387505324834,0.975126572230961
sup-reasoning__mistral-7b-base__cot-math__all-linear-r16__s11__d0abcad3b7,0.45602439330931954,0.4593693752662417,0.9927183174651477,0.904713535926104,0.9187387505324834,0.984734273373959
sup-reasoning__mistral-7b-base__cot-math__all-linear-r16__s22__d4bd8d3c95,0.4558750002660549,0.4593693752662417,0.99239310413725,0.9048250855347244,0.9187387505324834,0.9848556894006104
sup-reasoning__mistral-7b-base__cot-math__all-linear-r16__s33__44713514a2,0.45602874319549735,0.4593693752662417,0.9927277867210712,0.9053023710665836,0.9187387505324834,0.9853751902179892
symbolic-broad__mistral-7b-base__behav-symbolic-broad__all-linear-r16__s11__d9fdf17942,0.44559798897542846,0.4521917287777067,0.9854182653448762,0.8835178694344072,0.9115611040439484,0.9692360342218056
symbolic-broad__mistral-7b-base__behav-symbolic-broad__all-linear-r16__s22__d9d5dc73e7,0.4511441811652279,0.4593693752662417,0.9820945963229555,0.893188783052275,0.9187387505324834,0.972190171073768
symbolic-broad__mistral-7b-base__behav-symbolic-broad__all-linear-r16__s33__6ef06c5ca4,0.45119469378053456,0.4593693752662417,0.9822045571040314,0.8867163441087227,0.9187387505324834,0.9651452533103658
symbolic-narrow__mistral-7b-base__behav-symbolic-narrow__all-linear-r16__s11__b5c3ebae28,0.4523534601477188,0.4593693752662417,0.9847270725993508,0.8897644390104054,0.9187387505324834,0.9684629482480356
